Year,ID,Group,Value,Measure
1993,S08000029,Data not available,1,Previous
1993,S08000020,Data not available,2,Previous
1993,S08000024,Data not available,2,Previous
1993,S08000031,Data not available,2,Previous
1993,S08000030,Data not available,3,Previous
1994,S08000017,Data not available,1,Previous
1994,S08000019,Data not available,1,Previous
1994,S08000020,Data not available,1,Previous
1994,S08000029,Data not available,1,Previous
1994,S08000032,Data not available,1,Previous
1994,S08000030,Data not available,2,Previous
1994,S08000024,Data not available,5,Previous
1995,S08000017,Data not available,1,Previous
1995,S08000019,Data not available,1,Previous
1995,S08000024,Data not available,1,Previous
1992,S00000000,16-19,9,Age
1992,S08000025,16-19,20,Age
1992,S08000016,16-19,51,Age
1992,S08000017,16-19,71,Age
1992,S08000019,16-19,130,Age
1992,S08000022,16-19,142,Age
1992,S08000029,16-19,155,Age
1992,S08000015,16-19,169,Age
1992,S08000030,16-19,244,Age
1992,S08000032,16-19,250,Age
1992,S08000020,16-19,292,Age
1992,S08000024,16-19,373,Age
1992,S08000031,16-19,467,Age
1993,S08000025,16-19,15,Age
1993,S08000016,16-19,36,Age
1993,S08000017,16-19,51,Age
1993,S08000019,16-19,96,Age
1993,S08000022,16-19,115,Age
1993,S08000015,16-19,159,Age
1993,S08000029,16-19,160,Age
1993,S08000032,16-19,215,Age
1993,S08000030,16-19,245,Age
1993,S08000020,16-19,338,Age
1993,S08000024,16-19,385,Age
1993,S08000031,16-19,478,Age
1993,S00000000,16-19,*,Age
1994,S08000025,16-19,24,Age
1994,S08000016,16-19,41,Age
1994,S08000017,16-19,54,Age
1994,S08000022,16-19,105,Age
1994,S08000019,16-19,130,Age
1994,S08000029,16-19,148,Age
1994,S08000015,16-19,182,Age
1994,S08000032,16-19,218,Age
1994,S08000030,16-19,234,Age
1994,S08000020,16-19,291,Age
1994,S08000024,16-19,426,Age
1994,S08000031,16-19,457,Age
1994,S00000000,16-19,*,Age
1995,S08000025,16-19,22,Age
1995,S08000016,16-19,27,Age
1995,S08000017,16-19,42,Age
1995,S08000019,16-19,101,Age
1995,S08000022,16-19,118,Age
1995,S08000015,16-19,142,Age
1995,S08000029,16-19,152,Age
1995,S08000032,16-19,202,Age
1995,S08000030,16-19,239,Age
1995,S08000020,16-19,258,Age
1995,S08000031,16-19,430,Age
1995,S08000024,16-19,435,Age
1995,S00000000,16-19,*,Age
1996,S08000025,16-19,20,Age
1996,S08000016,16-19,45,Age
1996,S08000017,16-19,55,Age
1996,S08000019,16-19,110,Age
1996,S08000022,16-19,115,Age
1996,S08000029,16-19,155,Age
1996,S08000015,16-19,174,Age
1996,S08000032,16-19,226,Age
1996,S08000030,16-19,241,Age
1996,S08000020,16-19,311,Age
1996,S08000024,16-19,395,Age
1996,S08000031,16-19,511,Age
1996,S00000000,16-19,*,Age
1997,S08000025,16-19,18,Age
1997,S08000016,16-19,36,Age
1997,S08000017,16-19,67,Age
1997,S08000019,16-19,117,Age
1997,S08000022,16-19,137,Age
1997,S08000029,16-19,144,Age
1997,S08000015,16-19,146,Age
1997,S08000032,16-19,206,Age
1997,S08000030,16-19,251,Age
1997,S08000020,16-19,339,Age
1997,S08000024,16-19,445,Age
1997,S08000031,16-19,521,Age
1997,S00000000,16-19,*,Age
1998,S08000025,16-19,14,Age
1998,S08000016,16-19,37,Age
1998,S08000017,16-19,70,Age
1998,S08000019,16-19,116,Age
1998,S08000022,16-19,139,Age
1998,S08000015,16-19,180,Age
1998,S08000029,16-19,191,Age
1998,S08000030,16-19,266,Age
1998,S08000032,16-19,266,Age
1998,S08000020,16-19,324,Age
1998,S08000024,16-19,534,Age
1998,S08000031,16-19,549,Age
1998,S00000000,16-19,*,Age
1999,S00000000,16-19,6,Age
1999,S08000025,16-19,14,Age
1999,S08000016,16-19,41,Age
1999,S08000017,16-19,48,Age
1999,S08000019,16-19,123,Age
1999,S08000022,16-19,135,Age
1999,S08000015,16-19,162,Age
1999,S08000029,16-19,187,Age
1999,S08000030,16-19,260,Age
1999,S08000032,16-19,262,Age
1999,S08000020,16-19,308,Age
1999,S08000024,16-19,539,Age
1999,S08000031,16-19,550,Age
2000,S08000025,16-19,15,Age
2000,S08000016,16-19,34,Age
2000,S08000017,16-19,68,Age
2000,S08000022,16-19,129,Age
2000,S08000019,16-19,132,Age
2000,S08000015,16-19,177,Age
2000,S08000029,16-19,182,Age
2000,S08000032,16-19,263,Age
2000,S08000030,16-19,267,Age
2000,S08000020,16-19,275,Age
2000,S08000024,16-19,489,Age
2000,S08000031,16-19,577,Age
2000,S00000000,16-19,*,Age
2001,S08000025,16-19,16,Age
2001,S08000016,16-19,38,Age
2001,S08000017,16-19,67,Age
2001,S08000022,16-19,120,Age
2001,S08000019,16-19,125,Age
2001,S08000015,16-19,161,Age
2001,S08000029,16-19,193,Age
2001,S08000030,16-19,260,Age
2001,S08000020,16-19,272,Age
2001,S08000032,16-19,306,Age
2001,S08000024,16-19,527,Age
2001,S08000031,16-19,633,Age
2001,S00000000,16-19,*,Age
2002,S08000025,16-19,17,Age
2002,S08000016,16-19,30,Age
2002,S08000017,16-19,59,Age
2002,S08000022,16-19,114,Age
2002,S08000019,16-19,135,Age
2002,S08000015,16-19,164,Age
2002,S08000029,16-19,183,Age
2002,S08000030,16-19,258,Age
2002,S08000032,16-19,295,Age
2002,S08000020,16-19,297,Age
2002,S08000024,16-19,478,Age
2002,S08000031,16-19,620,Age
2002,S00000000,16-19,*,Age
2003,S08000025,16-19,18,Age
2003,S08000016,16-19,54,Age
2003,S08000017,16-19,85,Age
2003,S08000022,16-19,118,Age
2003,S08000019,16-19,127,Age
2003,S08000015,16-19,171,Age
2003,S08000029,16-19,205,Age
2003,S08000032,16-19,280,Age
2003,S08000020,16-19,304,Age
2003,S08000030,16-19,321,Age
2003,S08000024,16-19,525,Age
2003,S08000031,16-19,578,Age
2003,S00000000,16-19,*,Age
2004,S08000025,16-19,19,Age
2004,S08000016,16-19,52,Age
2004,S08000017,16-19,64,Age
2004,S08000022,16-19,127,Age
2004,S08000019,16-19,145,Age
2004,S08000015,16-19,172,Age
2004,S08000029,16-19,183,Age
2004,S08000030,16-19,308,Age
2004,S08000032,16-19,317,Age
2004,S08000020,16-19,351,Age
2004,S08000024,16-19,527,Age
